,report_date,borough,individuals
0,2021-03-31,Staten Island,863
2,2021-07-31,Brooklyn,11255
3,2022-12-31,Bronx,16954
4,2023-05-31,Brooklyn,13146
5,2021-10-31,Queens,6098
6,2022-08-31,Staten Island,761
7,2023-05-31,Staten Island,851
8,2023-09-30,Outside NYC,27151
10,2021-04-30,Manhattan,8893
11,2023-05-31,Unknown,946
12,2019-08-31,Outside NYC,3695
13,2019-01-31,Brooklyn,16465
14,2021-07-31,Queens,6139
16,2019-05-31,Unknown,458
17,2022-06-30,Manhattan,8455
18,2019-07-31,Unknown,443
19,2023-05-31,Queens,7662
21,2022-03-31,Queens,5847
23,2019-10-31,Unknown,416
25,2022-10-31,Outside NYC,15230
26,2023-01-31,Manhattan,11383
27,2023-01-31,Brooklyn,12916
28,2022-11-30,Unknown,455
29,2023-04-30,Unknown,909
30,2019-04-30,Brooklyn,15767
32,2020-06-30,Outside NYC,3520
33,2023-11-30,Staten Island,1091
34,2023-03-31,Bronx,17380
35,2021-02-28,Brooklyn,12853
37,2019-02-28,Queens,8563
38,2023-09-30,Queens,8651
39,2019-11-30,Outside NYC,3802
40,2019-04-30,Manhattan,8960
43,2020-11-30,Unknown,417
44,2022-11-30,Manhattan,10692
46,2022-11-30,Outside NYC,15552
48,2021-05-31,Unknown,284
49,2022-03-31,Outside NYC,3680
53,2022-06-30,Unknown,405
54,2020-10-31,Bronx,19038
56,2022-01-31,Outside NYC,3457
58,2021-04-30,Outside NYC,3131
59,2019-01-31,Staten Island,1341
61,2021-03-31,Bronx,17559
62,2020-10-31,Unknown,406
63,2022-03-31,Bronx,15171
64,2019-07-31,Queens,8214
65,2023-08-31,Bronx,18707
66,2019-07-31,Brooklyn,15347
67,2023-11-30,Outside NYC,28401
68,2020-10-31,Queens,7660
70,2020-01-31,Brooklyn,15523
71,2022-02-28,Unknown,300
72,2022-06-30,Bronx,15324
73,2021-08-31,Manhattan,8121
74,2021-09-30,Bronx,15557
75,2020-10-31,Staten Island,991
76,2021-10-31,Outside NYC,3318
78,2020-02-29,Manhattan,9123
79,2022-12-31,Unknown,492
80,2019-05-31,Manhattan,8846
81,2019-11-30,Unknown,420
82,2020-08-31,Queens,7697
83,2020-12-31,Manhattan,9266
85,2020-09-30,Staten Island,995
86,2022-07-31,Unknown,359
87,2020-12-31,Staten Island,933
89,2019-02-28,Bronx,21370
90,2020-03-31,Staten Island,1228
91,2020-12-31,Queens,7305
92,2023-04-30,Bronx,17565
93,2019-03-31,Manhattan,9039
95,2021-06-30,Queens,6306
96,2022-12-31,Staten Island,784
97,2019-09-30,Outside NYC,3747
98,2020-11-30,Staten Island,949
99,2019-07-31,Staten Island,1268
100,2020-11-30,Brooklyn,13433
101,2020-09-30,Unknown,416
102,2020-09-30,Manhattan,9116
103,2020-03-31,Brooklyn,15067
106,2022-07-31,Outside NYC,6810
107,2023-06-30,Unknown,855
108,2021-09-30,Unknown,293
109,2022-10-31,Queens,6561
110,2020-12-31,Brooklyn,13097
112,2020-04-30,Brooklyn,14688
114,2023-06-30,Queens,7717
116,2020-03-31,Outside NYC,3663
119,2023-04-30,Manhattan,12487
121,2020-11-30,Manhattan,9228
122,2021-07-31,Manhattan,8028
123,2020-03-31,Unknown,447
124,2021-11-30,Unknown,312
126,2022-07-31,Bronx,15764
128,2019-04-30,Staten Island,1278
129,2019-10-31,Staten Island,1287
130,2021-08-31,Brooklyn,11354
131,2021-03-31,Brooklyn,12570
132,2023-03-31,Brooklyn,12871
134,2019-03-31,Queens,8412
135,2019-11-30,Staten Island,1268
136,2019-09-30,Brooklyn,15620
137,2021-08-31,Staten Island,743
138,2022-06-30,Queens,5943
140,2023-06-30,Manhattan,12431
141,2019-07-31,Bronx,20550
144,2023-02-28,Brooklyn,12889
146,2023-05-31,Manhattan,12495
147,2020-01-31,Queens,8500
148,2020-04-30,Staten Island,1176
149,2023-11-30,Brooklyn,14679
150,2023-02-28,Queens,7041
152,2019-06-30,Bronx,20374
